smi,adduct,ccs
COc1ccc(OC)c(C(O)CN=C(O)CN)c1,[M+H-H2O]+,154.0
O=CC(O)C(O)COP(=O)(O)O,[M+Na]+,153.9
CC(O)=Nc1ccc(S(=O)(=O)c2ccc(N=C(C)O)cc2)cc1,[M+H]+,171.19999999999996
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,[M+H-H2O]+,187.8
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,[M+H]+,239.5
NC(CCC(O)=NC(CSSCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O)C(O)=NCC(=O)O)C(=O)O,[M-H]-,215.1
CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O,[M+Na]+,264.1
COC1(N=C(O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,[M+Na]+,193.6
O=C(O)C1(O)CC(O)C(O)C(O)C1,[M+H]+,146.3
Cn1cnc2[nH]c(=N)nc(O)c21,[M-H]-,136.6
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,[M+H]+,332.16
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(CO)[C@H]1CC[C@@]2(O)C(=O)CO,[M+Na]+,200.4
COc1cc([C@@H]2Oc3c(O)cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)cc3[C@H]2CO)ccc1O,[M-H]-,217.19999999999996
CC=CCC=CCC=CCC=CCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC=CCC=CCC=CC,[M+HCOO]-,242.5
O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,[M-H]-,236.5
COCCCOc1cc(CC(CC(N)C(O)CC(C(O)=NCC(C)(C)C(=N)O)C(C)C)C(C)C)ccc1OC,[M+H]+,226.2909007
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,[M+H]+,164.2
O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,[M-H]-,211.2
N=C(O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N,[M+H]+,172.0
CC=CCC=CCC=CCC=CCC=CCC(=O)OCC(COC(=O)CC=CCC=CCC=CCC=CCC=CC)OC(=O)CC=CCC=CCC=CCC=CCC=CC,[M+Na]+,288.32
O=C(O)CCN=C(O)c1ccccc1,[M+H]+,138.7
N=c1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(O)n1,[M-H]-,170.4
Cn1c(=O)nc(O)c2nc[nH]c21,[M+H]+,127.90000000000002
N=c1nc(O)c2ncn(C3OC4COP(=O)(O)OC4C3O)c2[nH]1,[M-H]-,167.0
CC(C)(CO)C(O)C(O)=NCCCO,[M-H]-,141.5
CC(O)=NCCCCN,[M-H]-,127.2
CC=CCC=CCC=CCC=CCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CC=CCC=CCC=CC,[M-H]-,206.5
C=NC(C(O)=NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1,[M+H]+,180.4
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,[M+H]+,173.9
CC=C(C)C(O)=NCC(=O)O,[M-H]-,142.9
Cc1ccccc1C(O)=NCC(=O)O,[M-H]-,153.7
CC(O)C(=O)SCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,[M-H]-,173.9
N=C(O)CCC(N=C(O)Cc1ccccc1)C(=O)O,[M+Na]+,171.212231625
Cc1ccccc1C(O)=NCC(=O)O,[M+Na]+,156.6
CCCCC(CC)COP(=O)(O)Oc1ccccc1,[M+Na]+,183.41
CCCCCCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC=CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCC,[M+CH3COO]-,333.57
CCC(C(N)=O)(C(N)=O)c1ccccc1,[M+H]+,143.8
Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C,[M+Na]+,210.69999999999996
CCCCCC=CCC(=O)C=CC=CC=CC(O)CCCC(=O)O,[M-H]-,182.4
Cc1c(C(=N)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],[M+H]+,143.69372065
O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1OC(=O)C=Cc1ccc(O)c(O)c1,[M+Na]+,233.98401395000002
CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,[M+Na]+,214.0
CCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC=CCC=CCC=CCC=CCC=CCC=CCCCCCCCCC,[M+CH3COO]-,329.81
O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,[M+H]+,185.015
N=C(O)C(N)Cc1c[nH]c2ccccc12,[M+Na]+,148.4
CCCCNCC(O)c1ccc(O)cc1,[M+H]+,156.1
CC(C)C1(C)NC(c2ncccc2C(=O)O)=NC1=O,[M+Na]+,176.1
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[M+H]+,189.7
CC(C)CCC(O)C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,[M-H]-,217.7
CC(C)C1(C)NC(c2ncccc2C(=O)O)=NC1=O,[M+H]+,157.8
CC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CC,[M+K]+,303.5
CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN(C(=O)CNC(=O)[C@@H](N)C[C@@H](C)O)C1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O,[M+H]+,331.08
CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,[M+Na]+,263.0933094
O=C(O)c1cc(O)c2cccc(O)c2n1,[M+Na]+,148.1
CC(O)=NC(Cc1ccc(O)cc1)C(=O)O,[M-H]-,149.4
CN1CCCCC1c1ccc(-c2cccnc2)nc1,[M+H]+,166.5
CN(C)CCc1c[nH]c2ccc(CC3COC(O)=N3)cc12,[M+H]+,159.707216375
C=C(C)C1CNC(C(=O)O)C1CC(=O)O,[M+H]+,144.2
CC(O)=NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(O)nc3=O)C(O)C2O)OC(CO)C(O)C1O,[M+Na-2H]-,228.25
C[C@]12C=CC(=O)C(Cl)=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,[M+Na]+,199.1
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4O)cc3O2)cc1,[M-H]-,216.69999999999996
N=C(O)CCCCC1CCSS1,[M+Na]+,150.7
