smi,adduct,ccs
CC[C@@H](C(N)=O)N1CCCC1=O,[M+H]+,145.4
CC(O)=NCCCCCN,[M-H]-,131.8
C[C@@H](O)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,[M+H]+,233.4
CC=CCC=CCC=CCC=CCC(=O)OCC(COC(=O)CC=CCC=CC)OC(=O)CC=CCC=CC,[M+NH4]+,226.5
O=P(O)(O)OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O,[M-H]-,164.7
CC1(C)SC2C(N=C(O)Cc3ccccc3)C(=O)N2C1C(=O)O,[M+H]+,174.9
CC(O)C(N)C(=O)O,[M-H]-,119.9
O=c1cc(-c2ccc(O)c(OC3OC(CO)C(O)C(O)C3O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,[M-H]-,235.80000000000004
O=C(O)CN=C(O)c1ccccc1,[M+Na]+,151.5
N=C(O)N=C(O)Cc1ccccc1,[M+H]+,128.3
CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)O)C(C)C)C(C)C,[M+H]+,390.2
CC(C)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)[C@@H](NC(=O)[C@@H](N)CC(N)=O)C(C)C)C1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)O,[M+H]+,272.2
CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@@H]4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C,[M+Na]+,321.88666666666666
CCC(C)[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N1CCC[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N3CCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)O)C3)C2)C(C)C)C1,[M+H]+,294.2
CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,[M+H]+,192.8
Cc1cnc(O)[nH]c1=N,[M+Na]+,135.9
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,[M-H]-,162.8
OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O,[M+H]+,163.6
CCCCCC=CCC(=O)C=CC=CCC=CCCCC(=O)O,[M-H]-,181.0
CC(O)=NC1C(O)OC(CO)C(O)C1O,[M-H]-,153.7
CN=C(O)C(=NOC)c1ccccc1COc1cc(C)ccc1C,[M+Na]+,181.19999999999996
O=c1nc(O)ccn1C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,[M+Na]+,184.9
CC1(C)SC2C(N=C(O)C(N=C(O)N3CCN=C3O)c3ccccc3)C(=O)N2C1C(=O)O,[M+H]+,205.80000000000004
CC(O)=NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(=N)nc3O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO,[M-H]-,215.5
O=C1CC(c2ccccc2)Oc2ccc(O)cc21,[M-H]-,156.5
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,[M+H]+,219.8
CC(O)=NC(Cc1ccccc1)C(=O)O,[M-H]-,146.3
N=c1nc(O)c2nc[nH]c2[nH]1,[M+Na]+,137.5
N=c1ccn(C2CC(O)C(CO)O2)c(O)n1,[M+Na]+,155.9
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1,[M+H]+,200.5
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@@](OC(=O)C=Cc2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@@H]1O,[M+Na]+,252.0
CC=C(C)C(O)=NCC(=O)O,[M+Na]+,146.7
N=c1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(O)n1,[M+Na]+,174.9
N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,[M+Na-2H]-,159.7
CCCCCC=CCC=CC=CC=CC(SCC(N)C(O)=NCC(=O)O)C(O)CCCC(=O)O,[M+H]+,234.1
O=C(O)c1cc(O)c2cccc(O)c2n1,[M-H]-,134.1
N=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(O)n1,[M+H]+,172.1
CN(C)C(O)=Nc1cccc(C(F)(F)F)c1,[M+H]+,151.1
COC(=O)CC(N=C(O)C(N=C(O)OC(C)C)C(C)C)c1ccc(Cl)cc1,[M-H]-,208.4
NC(CC(=O)O)C(O)=NC(Cc1ccccc1)C(=O)O,[M-H]-,159.4
O=C1C(O)=C(O)OC1C(O)CO,[M+H]+,138.7
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12,[M+H]+,217.69999999999996
O=C(O)CN=C(O)c1ccccc1,[M+H]+,146.8
CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)c1ccccc1,[M+Na]+,210.30000000000004
O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)CC1O,[M+Na-2H]-,161.6
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,[M+H]+,172.69999999999996
CCCCCCSCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,[M+H]+,203.19999999999996
N=C(O)CCC(N)C(=O)O,[M+Na]+,138.1
O=CC[C@H](O)[C@H](O)CO,[M+Na]+,134.3
OCC(O)C(O)CO,[M+Na]+,130.0
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,[M-H]-,208.30000000000004
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,[M+Na]+,267.0
COc1ccc(-c2cc3ccc(O)cc3oc2=O)cc1OC,[M-H]-,171.5
O=C(O)C1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(O)nc3=O)C(O)C2O)C(O)C(O)C1O,[M+Na-2H]-,203.3
CC(O)=NC(CC(C)C)C(=O)O,[M+Na]+,150.2
Cc1cnc(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=NC3CCCCC3)cc2)cn1,[M+H]+,196.5112041
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)O2)c(=O)nc1O,[M+Na-2H]-,218.8
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[M+Na]+,211.80000000000004
O=CC(OC1OC(CO)C(O)C(O)C1O)C(OC1OC(CO)C(O)C(O)C1O)C(OC1OC(CO)C(O)C(O)C1O)C(CO)OC1OC(CO)C(O)C(O)C1O,[M+Na]+,250.1
Cc1occc(=O)c1O,[M+H]+,117.7
C=CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,[M+Na]+,253.6
Cn1c(O)nc2[nH]cnc2c1=O,[M-H]-,124.2
N=c1nc(O)c2nccnc2[nH]1,[M+Na]+,143.7
CCC(O)=NCC(=O)O,[M-H]-,126.90000000000002
N=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)n1,[M+H]+,175.5
N=C(O)NC(CC(=O)O)C(=O)O,[M+Na]+,139.2
CC=CCC=CCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CC=CCCCC,[M-H]-,198.2
CC(O)=NC(CCC(=N)O)C(=O)O,[M-H]-,136.8
CC(O)=NCCCCCC(=O)O,[M+Na]+,141.4
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,[M+Na]+,244.9
CCCCCCSCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,[M+Na-2H]-,192.2
CCCCCC=CCC=CC=CC=CC(SCC(N)C(O)=NCC(=O)O)C(O)CCCC(=O)O,[M+Na]+,238.69999999999996
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1O,[M+Na]+,178.0
Cc1cn(C2OC(CO)C(O)C2O)c(=O)nc1O,[M-H]-,153.5
CCC=CCC=CCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CC=CCCCCC,[M-H]-,205.0
CCC=CCC(O)C=CC=CCC=CCC=CCC=CCCC(=O)O,[M-H]-,191.1104334
N=c1cc[nH]cc1,[M+H]+,117.8
O=C(O)C=Cc1cc2ccccc2[nH]1,[M+Na-2H]-,141.8
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,[M-H]-,195.80000000000004
NC(CCC(O)=NC(CS)C(O)=NCC(=O)O)C(=O)O,[M+H]+,167.9
Nc1nc(=O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21,[M-H]-,192.06337
COc1c(O)cc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1O,[M-H]-,191.1
OCc1cnc(O)nc1O,[M+Na]+,142.1
O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(OC(=O)C=Cc2ccc(O)c(O)c2)C1O,[M+Na]+,251.0
CC(C)(CO)C(O)C(O)=NCCC(O)=NCCS,[M-H]-,158.5
CN(C(=O)CO)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I,[M+H]+,221.6
CCCCCC(O)=NCC(=O)O,[M-H]-,144.6
OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)COC2(O)CO)[C@H](O)[C@@H](O)[C@@H]1O,[M-H]-,178.969583333375
CC(O)=NC(CCCCN)C(=O)O,[M-H]-,145.2
N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O,[M+Na-2H]-,159.6
O=C(O)CN=C(O)c1ccccc1O,[M+Na]+,154.891666675
Cn1c(=O)nc(O)c2nc[nH]c21,[M-H]-,124.495912625
O=C(O)CN=C(O)CCc1ccccc1,[M-H]-,153.3
Cc1cc2nc3nc(O)nc(O)c3nc2cc1C,[M+H]+,153.7
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,[M+H]+,154.2
O=P(O)(O)N(CCO)CC(O)CO,[M+Na]+,147.2
CC(O)=NCCCCC(N)C(=O)O,[M+H]+,142.40949815
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,[M+H]+,141.7
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,[M+H]+,159.3
CC(O)C(=O)C1=Nc2c(O)nc(=N)[nH]c2NC1,[M-H]-,148.6
CC(C)(C)N=C(O)C1CCC2C3CCC4N=C(O)C=CC4(C)C3CCC12C,[M+H]+,200.0
N=c1nc(O)c2ncn(C3CC(O)C(COP(=O)(O)O)O3)c2[nH]1,[M+H]+,179.0
C#CC(C)OC(=O)Nc1cccc(Cl)c1,[M+Na]+,164.8
CC(C)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,[M+H]+,160.0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12,[M+Na]+,243.9
N=c1nc(O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(O)C3O)c2[nH]1,[M+Na-2H]-,183.9
N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O,[M+Na]+,172.19999999999996
CON=C(C(O)=NC1C(=O)N2C(C(=O)O)=C(COC(=N)O)CSC12)c1ccco1,[M-H]-,205.0
